PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
70,0,3,16.0,0,26.0,2,0,315151,8.6625,,34
71,0,2,16.0,0,32.0,0,0,C.A. 33111,10.5,,34
72,0,3,70.0,1,16.0,5,2,CA 2144,46.9,,34
73,0,2,16.0,0,21.0,0,0,S.O.C. 14879,73.5,,34
74,0,3,16.0,0,26.0,1,0,2680,14.4542,,55
75,1,3,16.0,0,32.0,0,0,1601,56.4958,,34
76,0,3,16.0,0,25.0,0,0,348123,7.65,62.0,34
77,0,3,16.0,0,,0,0,349208,7.8958,,34
78,0,3,16.0,0,,0,0,374746,8.05,,34
79,1,2,58.0,0,0.83,0,2,248738,29.0,,34
80,1,3,70.0,1,30.0,0,0,364516,12.475,,34
81,0,3,16.0,0,22.0,0,0,345767,9.0,,34
82,1,3,16.0,0,29.0,0,0,345779,9.5,,34
83,1,3,70.0,1,,0,0,330932,7.7875,,39
84,0,1,16.0,0,28.0,0,0,113059,47.1,,34
85,1,2,70.0,1,17.0,0,0,SO/C 14885,10.5,,34
86,1,3,79.0,1,33.0,3,0,3101278,15.85,,34
87,0,3,16.0,0,16.0,1,3,W./C. 6608,34.375,,34
88,0,3,16.0,0,,0,0,SOTON/OQ 392086,8.05,,34
89,1,1,70.0,1,23.0,3,2,19950,263.0,59.0,34
90,0,3,16.0,0,24.0,0,0,343275,8.05,,34
91,0,3,16.0,0,29.0,0,0,343276,8.05,,34
92,0,3,16.0,0,20.0,0,0,347466,7.8542,,34
93,0,1,16.0,0,46.0,1,0,W.E.P. 5734,61.175,75.0,34
94,0,3,16.0,0,26.0,1,2,C.A. 2315,20.575,,34
95,0,3,16.0,0,59.0,0,0,364500,7.25,,34
96,0,3,16.0,0,,0,0,374910,8.05,,34
97,0,1,16.0,0,71.0,0,0,PC 17754,34.6542,47.0,55
98,1,1,16.0,0,23.0,0,1,PC 17759,63.3583,76.0,55
99,1,2,79.0,1,34.0,0,1,231919,23.0,,34
100,0,2,16.0,0,34.0,1,0,244367,26.0,,34
101,0,3,70.0,1,28.0,0,0,349245,7.8958,,34
102,0,3,16.0,0,,0,0,349215,7.8958,,34
103,0,1,16.0,0,21.0,0,1,35281,77.2875,76.0,34
104,0,3,16.0,0,33.0,0,0,7540,8.6542,,34
105,0,3,16.0,0,37.0,2,0,3101276,7.925,,34
106,0,3,16.0,0,28.0,0,0,349207,7.8958,,34
107,1,3,70.0,1,21.0,0,0,343120,7.65,,34
108,1,3,16.0,0,,0,0,312991,7.775,,34
109,0,3,16.0,0,38.0,0,0,349249,7.8958,,34
110,1,3,70.0,1,,1,0,371110,24.15,,39
111,0,1,16.0,0,47.0,0,0,110465,52.0,59.0,34
112,0,3,70.0,1,14.5,1,0,2665,14.4542,,55
113,0,3,16.0,0,22.0,0,0,324669,8.05,,34
114,0,3,70.0,1,20.0,1,0,4136,9.825,,34
115,0,3,70.0,1,17.0,0,0,2627,14.4583,,55
116,0,3,16.0,0,21.0,0,0,STON/O 2. 3101294,7.925,,34
117,0,3,16.0,0,70.5,0,0,370369,7.75,,39
118,0,2,16.0,0,29.0,1,0,11668,21.0,,34
119,0,1,16.0,0,24.0,0,1,PC 17558,247.5208,74.0,55
120,0,3,70.0,1,2.0,4,2,347082,31.275,,34
121,0,2,16.0,0,21.0,2,0,S.O.C. 14879,73.5,,34
122,0,3,16.0,0,,0,0,A4. 54510,8.05,,34
123,0,2,16.0,0,32.5,1,0,237736,30.0708,,55
124,1,2,70.0,1,32.5,0,0,27267,13.0,75.0,34
125,0,1,16.0,0,54.0,0,1,35281,77.2875,76.0,34
126,1,3,58.0,0,12.0,1,0,2651,11.2417,,55
127,0,3,16.0,0,,0,0,370372,7.75,,39
128,1,3,16.0,0,24.0,0,0,C 17369,7.1417,,34
129,1,3,70.0,1,,1,1,2668,22.3583,62.0,55
130,0,3,16.0,0,45.0,0,0,347061,6.975,,34
131,0,3,16.0,0,33.0,0,0,349241,7.8958,,55
132,0,3,16.0,0,20.0,0,0,SOTON/O.Q. 3101307,7.05,,34
133,0,3,79.0,1,47.0,1,0,A/5. 3337,14.5,,34
134,1,2,79.0,1,29.0,1,0,228414,26.0,,34
135,0,2,16.0,0,25.0,0,0,C.A. 29178,13.0,,34
136,0,2,16.0,0,23.0,0,0,SC/PARIS 2133,15.0458,,55
137,1,1,70.0,1,19.0,0,2,11752,26.2833,76.0,34
138,0,1,16.0,0,37.0,1,0,113803,53.1,59.0,34
139,0,3,16.0,0,16.0,0,0,7534,9.2167,,34
140,0,1,16.0,0,24.0,0,0,PC 17593,79.2,74.0,55
141,0,3,79.0,1,,0,2,2678,15.2458,,55
142,1,3,70.0,1,22.0,0,0,347081,7.75,,34
143,1,3,79.0,1,24.0,1,0,STON/O2. 3101279,15.85,,34
144,0,3,16.0,0,19.0,0,0,365222,6.75,,39
145,0,2,16.0,0,18.0,0,0,231945,11.5,,34
146,0,2,16.0,0,19.0,1,1,C.A. 33112,36.75,,34
147,1,3,16.0,0,27.0,0,0,350043,7.7958,,34
148,0,3,70.0,1,9.0,2,2,W./C. 6608,34.375,,34
149,0,2,16.0,0,36.5,0,2,230080,26.0,62.0,34
150,0,2,,0,42.0,0,0,244310,13.0,,34
151,0,2,,0,51.0,0,0,S.O.P. 1166,12.525,,34
152,1,1,79.0,1,22.0,1,0,113776,66.6,59.0,34
153,0,3,16.0,0,55.5,0,0,A.5. 11206,8.05,,34
154,0,3,16.0,0,40.5,0,2,A/5. 851,14.5,,34
155,0,3,16.0,0,,0,0,Fa 265302,7.3125,,34
156,0,1,16.0,0,51.0,0,1,PC 17597,61.3792,,55
157,1,3,70.0,1,16.0,0,0,35851,7.7333,,39
158,0,3,16.0,0,30.0,0,0,SOTON/OQ 392090,8.05,,34
159,0,3,16.0,0,,0,0,315037,8.6625,,34
160,0,3,58.0,0,,8,2,CA. 2343,69.55,,34
161,0,3,16.0,0,44.0,0,1,371362,16.1,,34
162,1,2,79.0,1,40.0,0,0,C.A. 33595,15.75,,34
163,0,3,16.0,0,26.0,0,0,347068,7.775,,34
164,0,3,16.0,0,17.0,0,0,315093,8.6625,,34
165,0,3,58.0,0,1.0,4,1,3101295,39.6875,,34
166,1,3,58.0,0,9.0,0,2,363291,20.525,,34
167,1,1,79.0,1,,0,1,113505,55.0,75.0,34
168,0,3,79.0,1,45.0,1,4,347088,27.9,,34
169,0,1,16.0,0,,0,0,PC 17318,25.925,,34
170,0,3,16.0,0,28.0,0,0,1601,56.4958,,34
171,0,1,16.0,0,61.0,0,0,111240,33.5,74.0,34
172,0,3,58.0,0,4.0,4,1,382652,29.125,,39
173,1,3,70.0,1,1.0,1,1,347742,11.1333,,34
174,0,3,16.0,0,21.0,0,0,STON/O 2. 3101280,7.925,,34
175,0,1,16.0,0,56.0,0,0,17764,30.6958,47.0,55
176,0,3,16.0,0,18.0,1,1,350404,7.8542,,34
177,0,3,58.0,0,,3,1,4133,25.4667,,34
178,0,1,70.0,1,50.0,0,0,PC 17595,28.7125,59.0,55
179,0,2,16.0,0,30.0,0,0,250653,13.0,,34
180,0,3,16.0,0,36.0,0,0,LINE,0.0,,34
181,0,3,70.0,1,,8,2,CA. 2343,69.55,,34
182,0,2,16.0,0,,0,0,SC/PARIS 2131,15.05,,55
183,0,3,58.0,0,9.0,4,2,347077,31.3875,,34
184,1,2,58.0,0,1.0,2,1,230136,39.0,62.0,34
185,1,3,70.0,1,4.0,0,2,315153,22.025,,34
186,0,1,16.0,0,,0,0,113767,50.0,47.0,34
187,1,3,79.0,1,,1,0,370365,15.5,,39
188,1,1,16.0,0,45.0,0,0,111428,26.55,,34
189,0,3,16.0,0,40.0,1,1,364849,15.5,,39
190,0,3,16.0,0,36.0,0,0,349247,7.8958,,34
191,1,2,79.0,1,32.0,0,0,234604,13.0,,34
192,0,2,16.0,0,19.0,0,0,28424,13.0,,34
193,1,3,70.0,1,19.0,1,0,350046,7.8542,,34
194,1,2,58.0,0,3.0,1,1,230080,26.0,62.0,34
195,1,1,79.0,1,44.0,0,0,PC 17610,27.7208,74.0,55
196,1,1,70.0,1,58.0,0,0,PC 17569,146.5208,74.0,55
197,0,3,16.0,0,,0,0,368703,7.75,,39
198,0,3,16.0,0,42.0,0,1,4579,8.4042,,34
199,1,3,70.0,1,,0,0,370370,7.75,,39
200,0,2,70.0,1,24.0,0,0,248747,13.0,,34
201,0,3,16.0,0,28.0,0,0,345770,9.5,,34
202,0,3,16.0,0,,8,2,CA. 2343,69.55,,34
203,0,3,16.0,0,34.0,0,0,3101264,6.4958,,34
204,0,3,16.0,0,45.5,0,0,2628,7.225,,55
205,1,3,16.0,0,18.0,0,0,A/5 3540,8.05,,34
206,0,3,70.0,1,2.0,0,1,347054,10.4625,50.0,34
207,0,3,16.0,0,32.0,1,0,3101278,15.85,,34
208,1,3,16.0,0,26.0,0,0,2699,18.7875,,55
209,1,3,70.0,1,16.0,0,0,367231,7.75,,39
210,1,1,16.0,0,40.0,0,0,112277,31.0,47.0,55
211,0,3,16.0,0,24.0,0,0,SOTON/O.Q. 3101311,7.05,,34
212,1,2,70.0,1,35.0,0,0,F.C.C. 13528,21.0,,34
213,0,3,16.0,0,22.0,0,0,A/5 21174,7.25,,34
214,0,2,16.0,0,30.0,0,0,250646,13.0,,34
215,0,3,16.0,0,,1,0,367229,7.75,,39
216,1,1,70.0,1,31.0,1,0,35273,113.275,76.0,55
217,1,3,70.0,1,27.0,0,0,STON/O2. 3101283,7.925,,34
218,0,2,16.0,0,42.0,1,0,243847,27.0,,34
219,1,1,70.0,1,32.0,0,0,11813,76.2917,76.0,55
220,0,2,16.0,0,30.0,0,0,W/C 14208,10.5,,34
221,1,3,16.0,0,16.0,0,0,SOTON/OQ 392089,8.05,,34
222,0,2,16.0,0,27.0,0,0,220367,13.0,,34
223,0,3,16.0,0,51.0,0,0,21440,8.05,,34
224,0,3,16.0,0,,0,0,349234,7.8958,,34
225,1,1,16.0,0,38.0,1,0,19943,90.0,59.0,34
226,0,3,16.0,0,22.0,0,0,PP 4348,9.35,,34
227,1,2,16.0,0,19.0,0,0,SW/PP 751,10.5,,34
228,0,3,16.0,0,20.5,0,0,A/5 21173,7.25,,34
229,0,2,16.0,0,18.0,0,0,236171,13.0,,34
230,0,3,70.0,1,,3,1,4133,25.4667,,34
231,1,1,79.0,1,35.0,1,0,36973,83.475,59.0,34
232,0,3,16.0,0,29.0,0,0,347067,7.775,,34
233,0,2,16.0,0,59.0,0,0,237442,13.5,,34
234,1,3,70.0,1,5.0,4,2,347077,31.3875,,34
235,0,2,16.0,0,24.0,0,0,C.A. 29566,10.5,,34
236,0,3,70.0,1,,0,0,W./C. 6609,7.55,,34
237,0,2,16.0,0,44.0,1,0,26707,26.0,,34
238,1,2,70.0,1,8.0,0,2,C.A. 31921,26.25,,34
239,0,2,16.0,0,19.0,0,0,28665,10.5,,34
240,0,2,16.0,0,33.0,0,0,SCO/W 1585,12.275,,34
241,0,3,70.0,1,,1,0,2665,14.4542,,55
242,1,3,70.0,1,,1,0,367230,15.5,,39
243,0,2,16.0,0,29.0,0,0,W./C. 14263,10.5,,34
244,0,3,16.0,0,22.0,0,0,STON/O 2. 3101275,7.125,,34
245,0,3,16.0,0,30.0,0,0,2694,7.225,,55
246,0,1,43.0,0,44.0,2,0,19928,90.0,59.0,39
247,0,3,70.0,1,25.0,0,0,347071,7.775,,34
248,1,2,79.0,1,24.0,0,2,250649,14.5,,34
249,1,1,16.0,0,37.0,1,1,11751,52.5542,76.0,34
250,0,2,,0,54.0,1,0,244252,26.0,,34
251,0,3,16.0,0,,0,0,362316,7.25,,34
252,0,3,79.0,1,29.0,1,1,347054,10.4625,50.0,34
253,0,1,16.0,0,62.0,0,0,113514,26.55,59.0,34
254,0,3,16.0,0,30.0,1,0,A/5. 3336,16.1,,34
255,0,3,79.0,1,41.0,0,2,370129,20.2125,,34
256,1,3,79.0,1,29.0,0,2,2650,15.2458,,55
257,1,1,79.0,1,,0,0,PC 17585,79.2,,55
258,1,1,70.0,1,30.0,0,0,110152,86.5,74.0,34
259,1,1,70.0,1,35.0,0,0,PC 17755,512.3292,,55
260,1,2,79.0,1,50.0,0,1,230433,26.0,,34
261,0,3,16.0,0,,0,0,384461,7.75,,39
262,1,3,58.0,0,3.0,4,2,347077,31.3875,,34
263,0,1,16.0,0,52.0,1,1,110413,79.65,75.0,34
264,0,1,16.0,0,40.0,0,0,112059,0.0,74.0,34
265,0,3,70.0,1,,0,0,382649,7.75,,39
266,0,2,16.0,0,36.0,0,0,C.A. 17248,10.5,,34
267,0,3,16.0,0,16.0,4,1,3101295,39.6875,,34
268,1,3,16.0,0,25.0,1,0,347083,7.775,,34
269,1,1,79.0,1,58.0,0,1,PC 17582,153.4625,59.0,34
270,1,1,70.0,1,35.0,0,0,PC 17760,135.6333,59.0,34
271,0,1,16.0,0,,0,0,113798,31.0,,34
272,1,3,16.0,0,25.0,0,0,LINE,0.0,,34
273,1,2,79.0,1,41.0,0,1,250644,19.5,,34
274,0,1,16.0,0,37.0,0,1,PC 17596,29.7,59.0,55
275,1,3,70.0,1,,0,0,370375,7.75,,39
276,1,1,70.0,1,63.0,1,0,13502,77.9583,76.0,34
277,0,3,70.0,1,45.0,0,0,347073,7.75,,34
278,0,2,16.0,0,,0,0,239853,0.0,,34
279,0,3,58.0,0,7.0,4,1,382652,29.125,,39
280,1,3,79.0,1,35.0,1,1,C.A. 2673,20.25,,34
281,0,3,16.0,0,65.0,0,0,336439,7.75,,39
282,0,3,16.0,0,28.0,0,0,347464,7.8542,,34
283,0,3,16.0,0,16.0,0,0,345778,9.5,,34
284,1,3,16.0,0,19.0,0,0,A/5. 10482,8.05,,34
285,0,1,16.0,0,,0,0,113056,26.0,47.0,34
286,0,3,16.0,0,33.0,0,0,349239,8.6625,,55
287,1,3,16.0,0,30.0,0,0,345774,9.5,,34
288,0,3,16.0,0,22.0,0,0,349206,7.8958,,34
289,1,2,16.0,0,42.0,0,0,237798,13.0,,34
290,1,3,70.0,1,22.0,0,0,370373,7.75,,39
291,1,1,70.0,1,26.0,0,0,19877,78.85,,34
292,1,1,79.0,1,19.0,1,0,11967,91.0792,74.0,55
293,0,2,16.0,0,36.0,0,0,SC/Paris 2163,12.875,76.0,55
294,0,3,70.0,1,24.0,0,0,349236,8.85,,34
295,0,3,16.0,0,24.0,0,0,349233,7.8958,,34
296,0,1,16.0,0,,0,0,PC 17612,27.7208,,55
297,0,3,16.0,0,23.5,0,0,2693,7.2292,,55
298,0,1,70.0,1,2.0,1,2,113781,151.55,59.0,34
299,1,1,16.0,0,,0,0,19988,30.5,59.0,34
300,1,1,79.0,1,50.0,0,1,PC 17558,247.5208,74.0,55
301,1,3,70.0,1,,0,0,9234,7.75,,39
302,1,3,16.0,0,,2,0,367226,23.25,,39
303,0,3,16.0,0,19.0,0,0,LINE,0.0,,34
304,1,2,70.0,1,,0,0,226593,12.35,75.0,39
305,0,3,16.0,0,,0,0,A/5 2466,8.05,,34
306,1,1,58.0,0,0.92,1,2,113781,151.55,59.0,34
307,1,1,70.0,1,,0,0,17421,110.8833,,55
308,1,1,79.0,1,17.0,1,0,PC 17758,108.9,59.0,55
309,0,2,16.0,0,30.0,1,0,P/PP 3381,24.0,,55
310,1,1,70.0,1,30.0,0,0,PC 17485,56.9292,75.0,55
311,1,1,70.0,1,24.0,0,0,11767,83.1583,59.0,55
312,1,1,70.0,1,18.0,2,2,PC 17608,262.375,74.0,55
313,0,2,79.0,1,26.0,1,1,250651,26.0,,34
314,0,3,16.0,0,28.0,0,0,349243,7.8958,,34
315,0,2,16.0,0,43.0,1,1,F.C.C. 13529,26.25,,34
316,1,3,70.0,1,26.0,0,0,347470,7.8542,,34
317,1,2,79.0,1,24.0,1,0,244367,26.0,,34
318,0,2,43.0,0,54.0,0,0,29011,14.0,,34
319,1,1,70.0,1,31.0,0,2,36928,164.8667,59.0,34
320,1,1,79.0,1,40.0,1,1,16966,134.5,75.0,55
321,0,3,16.0,0,22.0,0,0,A/5 21172,7.25,,34
322,0,3,16.0,0,27.0,0,0,349219,7.8958,,34
323,1,2,70.0,1,30.0,0,0,234818,12.35,,39
324,1,2,79.0,1,22.0,1,1,248738,29.0,,34
325,0,3,16.0,0,,8,2,CA. 2343,69.55,,34
326,1,1,70.0,1,36.0,0,0,PC 17760,135.6333,59.0,55
327,0,3,16.0,0,61.0,0,0,345364,6.2375,,34
328,1,2,79.0,1,36.0,0,0,28551,13.0,76.0,34
329,1,3,79.0,1,31.0,1,1,363291,20.525,,34
330,1,1,70.0,1,16.0,0,1,111361,57.9792,74.0,55
331,1,3,70.0,1,,2,0,367226,23.25,,39
332,0,1,16.0,0,45.5,0,0,113043,28.5,59.0,34
333,0,1,16.0,0,38.0,0,1,PC 17582,153.4625,59.0,34
334,0,3,16.0,0,16.0,2,0,345764,18.0,,34
335,1,1,79.0,1,,1,0,PC 17611,133.65,,34
336,0,3,16.0,0,,0,0,349225,7.8958,,34
337,0,1,16.0,0,29.0,1,0,113776,66.6,59.0,34
338,1,1,70.0,1,41.0,0,0,16966,134.5,75.0,55
339,1,3,16.0,0,45.0,0,0,7598,8.05,,34
340,0,1,16.0,0,45.0,0,0,113784,35.5,0.0,34
341,1,2,58.0,0,2.0,1,1,230080,26.0,62.0,34
342,1,1,70.0,1,24.0,3,2,19950,263.0,59.0,34
343,0,2,16.0,0,28.0,0,0,248740,13.0,,34
344,0,2,16.0,0,25.0,0,0,244361,13.0,,34
345,0,2,16.0,0,36.0,0,0,229236,13.0,,34
346,1,2,70.0,1,24.0,0,0,248733,13.0,62.0,34
347,1,2,70.0,1,40.0,0,0,31418,13.0,,34
348,1,3,79.0,1,,1,0,386525,16.1,,34
349,1,3,58.0,0,3.0,1,1,C.A. 37671,15.9,,34
350,0,3,16.0,0,42.0,0,0,315088,8.6625,,34
351,0,3,16.0,0,23.0,0,0,7267,9.225,,34
352,0,1,16.0,0,,0,0,113510,35.0,59.0,34
353,0,3,16.0,0,15.0,1,1,2695,7.2292,,55
354,0,3,16.0,0,25.0,1,0,349237,17.8,,34
355,0,3,16.0,0,,0,0,2647,7.225,,55
356,0,3,16.0,0,28.0,0,0,345783,9.5,,34
357,1,1,70.0,1,22.0,0,1,113505,55.0,75.0,34
358,0,2,70.0,1,38.0,0,0,237671,13.0,,34
359,1,3,70.0,1,,0,0,330931,7.8792,,39
360,1,3,70.0,1,,0,0,330980,7.8792,,39
361,0,3,16.0,0,40.0,1,4,347088,27.9,,34
362,0,2,16.0,0,29.0,1,0,SC/PARIS 2167,27.7208,,55
363,0,3,79.0,1,45.0,0,1,2691,14.4542,,55
364,0,3,16.0,0,35.0,0,0,SOTON/O.Q. 3101310,7.05,,34
365,0,3,16.0,0,,1,0,370365,15.5,,39
366,0,3,16.0,0,30.0,0,0,C 7076,7.25,,34
367,1,1,79.0,1,60.0,1,0,110813,75.25,76.0,55
368,1,3,79.0,1,,0,0,2626,7.2292,,55
369,1,3,70.0,1,,0,0,14313,7.75,,39
370,1,1,,1,24.0,0,0,PC 17477,69.3,74.0,55
371,1,1,16.0,0,25.0,1,0,11765,55.4417,75.0,55
372,0,3,16.0,0,18.0,1,0,3101267,6.4958,,34
373,0,3,16.0,0,19.0,0,0,323951,8.05,,34
374,0,1,16.0,0,22.0,0,0,PC 17760,135.6333,,55
375,0,3,70.0,1,3.0,3,1,349909,21.075,,34
376,1,1,79.0,1,,1,0,PC 17604,82.1708,,55
377,1,3,70.0,1,22.0,0,0,C 7077,7.25,,34
378,0,1,16.0,0,27.0,0,2,113503,211.5,59.0,55
379,0,3,16.0,0,20.0,0,0,2648,4.0125,,55
380,0,3,16.0,0,19.0,0,0,347069,7.775,,34
381,1,1,70.0,1,42.0,0,0,PC 17757,227.525,,55
382,1,3,70.0,1,1.0,0,2,2653,15.7417,,55
383,0,3,16.0,0,32.0,0,0,STON/O 2. 3101293,7.925,,34
384,1,1,79.0,1,35.0,1,0,113789,52.0,,34
385,0,3,16.0,0,,0,0,349227,7.8958,,34
386,0,2,16.0,0,18.0,0,0,S.O.C. 14879,73.5,,34
387,0,3,58.0,0,1.0,5,2,CA 2144,46.9,,34
388,1,2,70.0,1,36.0,0,0,27849,13.0,,34
389,0,3,16.0,0,,0,0,367655,7.7292,,39
390,1,2,70.0,1,17.0,0,0,SC 1748,12.0,,55
391,1,1,16.0,0,36.0,1,2,113760,120.0,74.0,34
392,1,3,16.0,0,21.0,0,0,350034,7.7958,,34
393,0,3,16.0,0,28.0,2,0,3101277,7.925,,34
394,1,1,70.0,1,23.0,1,0,35273,113.275,76.0,55
395,1,3,79.0,1,24.0,0,2,PP 9549,16.7,50.0,34
396,0,3,16.0,0,22.0,0,0,350052,7.7958,,34
397,0,3,70.0,1,31.0,0,0,350407,7.8542,,34
398,0,2,16.0,0,46.0,0,0,28403,26.0,,34
399,0,2,43.0,0,23.0,0,0,244278,10.5,,34
400,1,2,79.0,1,28.0,0,0,240929,12.65,,34
401,1,3,16.0,0,39.0,0,0,STON/O 2. 3101289,7.925,,34
402,0,3,16.0,0,26.0,0,0,341826,8.05,,34
403,0,3,70.0,1,21.0,1,0,4137,9.825,,34
404,0,3,16.0,0,28.0,1,0,STON/O2. 3101279,15.85,,34
405,0,3,70.0,1,20.0,0,0,315096,8.6625,,34
406,0,2,16.0,0,34.0,1,0,28664,21.0,,34
407,0,3,16.0,0,51.0,0,0,347064,7.75,,34
408,1,2,58.0,0,3.0,1,1,29106,18.75,,34
409,0,3,16.0,0,21.0,0,0,312992,7.775,,34
410,0,3,70.0,1,,3,1,4133,25.4667,,34
411,0,3,16.0,0,,0,0,349222,7.8958,,34
412,0,3,16.0,0,,0,0,394140,6.8583,,39
413,1,1,70.0,1,33.0,1,0,19928,90.0,59.0,39
414,0,2,16.0,0,,0,0,239853,0.0,,34
415,1,3,16.0,0,44.0,0,0,STON/O 2. 3101269,7.925,,34
416,0,3,79.0,1,,0,0,343095,8.05,,34
417,1,2,79.0,1,34.0,1,1,28220,32.5,,34
418,1,2,70.0,1,18.0,0,2,250652,13.0,,34
419,0,2,16.0,0,30.0,0,0,28228,13.0,,34
420,0,3,70.0,1,10.0,0,2,345773,24.15,,34
421,0,3,16.0,0,,0,0,349254,7.8958,,55
422,0,3,16.0,0,21.0,0,0,A/5. 13032,7.7333,,39
423,0,3,16.0,0,29.0,0,0,315082,7.875,,34
424,0,3,79.0,1,28.0,1,1,347080,14.4,,34
425,0,3,16.0,0,18.0,1,1,370129,20.2125,,34
426,0,3,16.0,0,,0,0,A/4. 34244,7.25,,34
427,1,2,79.0,1,28.0,1,0,2003,26.0,,34
428,1,2,70.0,1,19.0,0,0,250655,26.0,,34
429,0,3,16.0,0,,0,0,364851,7.75,,39
430,1,3,16.0,0,32.0,0,0,SOTON/O.Q. 392078,8.05,75.0,34
431,1,1,16.0,0,28.0,0,0,110564,26.55,59.0,34
432,1,3,79.0,1,,1,0,376564,16.1,,34
433,1,2,79.0,1,42.0,1,0,SC/AH 3085,26.0,,34
434,0,3,16.0,0,17.0,0,0,STON/O 2. 3101274,7.125,,34
435,0,1,16.0,0,50.0,1,0,13507,55.9,75.0,34
436,1,1,70.0,1,14.0,1,2,113760,120.0,74.0,34
437,0,3,70.0,1,21.0,2,2,W./C. 6608,34.375,,34
