PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
97,0,1,16,0,71,0,0,34.6542,47,55
98,1,1,16,0,23,0,1,63.3583,76,55
99,1,2,79,1,34,0,1,23,,34
100,0,2,16,0,34,1,0,26,,34
101,0,3,70,1,28,0,0,7.8958,,34
102,0,3,16,0,,0,0,7.8958,,34
103,0,1,16,0,21,0,1,77.2875,76,34
104,0,3,16,0,33,0,0,8.6542,,34
105,0,3,16,0,37,2,0,7.925,,34
106,0,3,16,0,28,0,0,7.8958,,34
107,1,3,70,1,21,0,0,7.65,,34
108,1,3,16,0,,0,0,7.775,,34
109,0,3,16,0,38,0,0,7.8958,,34
110,1,3,70,1,,1,0,24.15,,39
111,0,1,16,0,47,0,0,52,59,34
112,0,3,70,1,14.5,1,0,14.4542,,55
113,0,3,16,0,22,0,0,8.05,,34
114,0,3,70,1,20,1,0,9.825,,34
115,0,3,70,1,17,0,0,14.4583,,55
116,0,3,16,0,21,0,0,7.925,,34
117,0,3,16,0,70.5,0,0,7.75,,39
118,0,2,16,0,29,1,0,21,,34
119,0,1,16,0,24,0,1,247.5208,74,55
120,0,3,70,1,2,4,2,31.275,,34
121,0,2,16,0,21,2,0,73.5,,34
122,0,3,16,0,,0,0,8.05,,34
123,0,2,16,0,32.5,1,0,30.0708,,55
124,1,2,70,1,32.5,0,0,13,75,34
125,0,1,16,0,54,0,1,77.2875,76,34
126,1,3,58,0,12,1,0,11.2417,,55
127,0,3,16,0,,0,0,7.75,,39
128,1,3,16,0,24,0,0,7.1417,,34
129,1,3,70,1,,1,1,22.3583,62,55
130,0,3,16,0,45,0,0,6.975,,34
131,0,3,16,0,33,0,0,7.8958,,55
132,0,3,16,0,20,0,0,7.05,,34
133,0,3,79,1,47,1,0,14.5,,34
134,1,2,79,1,29,1,0,26,,34
135,0,2,16,0,25,0,0,13,,34
136,0,2,16,0,23,0,0,15.0458,,55
137,1,1,70,1,19,0,2,26.2833,76,34
138,0,1,16,0,37,1,0,53.1,59,34
139,0,3,16,0,16,0,0,9.2167,,34
140,0,1,16,0,24,0,0,79.2,74,55
141,0,3,79,1,,0,2,15.2458,,55
142,1,3,70,1,22,0,0,7.75,,34
143,1,3,79,1,24,1,0,15.85,,34
144,0,3,16,0,19,0,0,6.75,,39
145,0,2,16,0,18,0,0,11.5,,34
146,0,2,16,0,19,1,1,36.75,,34
147,1,3,16,0,27,0,0,7.7958,,34
148,0,3,70,1,9,2,2,34.375,,34
149,0,2,16,0,36.5,0,2,26,62,34
150,0,2,,0,42,0,0,13,,34
151,0,2,,0,51,0,0,12.525,,34
152,1,1,79,1,22,1,0,66.6,59,34
153,0,3,16,0,55.5,0,0,8.05,,34
154,0,3,16,0,40.5,0,2,14.5,,34
155,0,3,16,0,,0,0,7.3125,,34
156,0,1,16,0,51,0,1,61.3792,,55
157,1,3,70,1,16,0,0,7.7333,,39
158,0,3,16,0,30,0,0,8.05,,34
159,0,3,16,0,,0,0,8.6625,,34
160,0,3,58,0,,8,2,69.55,,34
161,0,3,16,0,44,0,1,16.1,,34
162,1,2,79,1,40,0,0,15.75,,34
163,0,3,16,0,26,0,0,7.775,,34
164,0,3,16,0,17,0,0,8.6625,,34
165,0,3,58,0,1,4,1,39.6875,,34
166,1,3,58,0,9,0,2,20.525,,34
167,1,1,79,1,,0,1,55,75,34
168,0,3,79,1,45,1,4,27.9,,34
169,0,1,16,0,,0,0,25.925,,34
170,0,3,16,0,28,0,0,56.4958,,34
171,0,1,16,0,61,0,0,33.5,74,34
172,0,3,58,0,4,4,1,29.125,,39
173,1,3,70,1,1,1,1,11.1333,,34
174,0,3,16,0,21,0,0,7.925,,34
175,0,1,16,0,56,0,0,30.6958,47,55
176,0,3,16,0,18,1,1,7.8542,,34
177,0,3,58,0,,3,1,25.4667,,34
178,0,1,70,1,50,0,0,28.7125,59,55
179,0,2,16,0,30,0,0,13,,34
180,0,3,16,0,36,0,0,0,,34
181,0,3,70,1,,8,2,69.55,,34
182,0,2,16,0,,0,0,15.05,,55
183,0,3,58,0,9,4,2,31.3875,,34
184,1,2,58,0,1,2,1,39,62,34
185,1,3,70,1,4,0,2,22.025,,34
186,0,1,16,0,,0,0,50,47,34
187,1,3,79,1,,1,0,15.5,,39
188,1,1,16,0,45,0,0,26.55,,34
189,0,3,16,0,40,1,1,15.5,,39
190,0,3,16,0,36,0,0,7.8958,,34
191,1,2,79,1,32,0,0,13,,34
192,0,2,16,0,19,0,0,13,,34
193,1,3,70,1,19,1,0,7.8542,,34
194,1,2,58,0,3,1,1,26,62,34
195,1,1,79,1,44,0,0,27.7208,74,55
196,1,1,70,1,58,0,0,146.5208,74,55
197,0,3,16,0,,0,0,7.75,,39
198,0,3,16,0,42,0,1,8.4042,,34
199,1,3,70,1,,0,0,7.75,,39
200,0,2,70,1,24,0,0,13,,34
201,0,3,16,0,28,0,0,9.5,,34
202,0,3,16,0,,8,2,69.55,,34
203,0,3,16,0,34,0,0,6.4958,,34
204,0,3,16,0,45.5,0,0,7.225,,55
205,1,3,16,0,18,0,0,8.05,,34
206,0,3,70,1,2,0,1,10.4625,50,34
207,0,3,16,0,32,1,0,15.85,,34
208,1,3,16,0,26,0,0,18.7875,,55
209,1,3,70,1,16,0,0,7.75,,39
210,1,1,16,0,40,0,0,31,47,55
211,0,3,16,0,24,0,0,7.05,,34
212,1,2,70,1,35,0,0,21,,34
213,0,3,16,0,22,0,0,7.25,,34
214,0,2,16,0,30,0,0,13,,34
215,0,3,16,0,,1,0,7.75,,39
216,1,1,70,1,31,1,0,113.275,76,55
217,1,3,70,1,27,0,0,7.925,,34
218,0,2,16,0,42,1,0,27,,34
219,1,1,70,1,32,0,0,76.2917,76,55
220,0,2,16,0,30,0,0,10.5,,34
221,1,3,16,0,16,0,0,8.05,,34
222,0,2,16,0,27,0,0,13,,34
223,0,3,16,0,51,0,0,8.05,,34
224,0,3,16,0,,0,0,7.8958,,34
225,1,1,16,0,38,1,0,90,59,34
226,0,3,16,0,22,0,0,9.35,,34
227,1,2,16,0,19,0,0,10.5,,34
228,0,3,16,0,20.5,0,0,7.25,,34
229,0,2,16,0,18,0,0,13,,34
230,0,3,70,1,,3,1,25.4667,,34
231,1,1,79,1,35,1,0,83.475,59,34
232,0,3,16,0,29,0,0,7.775,,34
233,0,2,16,0,59,0,0,13.5,,34
234,1,3,70,1,5,4,2,31.3875,,34
235,0,2,16,0,24,0,0,10.5,,34
236,0,3,70,1,,0,0,7.55,,34
237,0,2,16,0,44,1,0,26,,34
238,1,2,70,1,8,0,2,26.25,,34
239,0,2,16,0,19,0,0,10.5,,34
240,0,2,16,0,33,0,0,12.275,,34
241,0,3,70,1,,1,0,14.4542,,55
242,1,3,70,1,,1,0,15.5,,39
243,0,2,16,0,29,0,0,10.5,,34
244,0,3,16,0,22,0,0,7.125,,34
245,0,3,16,0,30,0,0,7.225,,55
246,0,1,43,0,44,2,0,90,59,39
247,0,3,70,1,25,0,0,7.775,,34
248,1,2,79,1,24,0,2,14.5,,34
249,1,1,16,0,37,1,1,52.5542,76,34
250,0,2,,0,54,1,0,26,,34
251,0,3,16,0,,0,0,7.25,,34
252,0,3,79,1,29,1,1,10.4625,50,34
253,0,1,16,0,62,0,0,26.55,59,34
254,0,3,16,0,30,1,0,16.1,,34
255,0,3,79,1,41,0,2,20.2125,,34
256,1,3,79,1,29,0,2,15.2458,,55
257,1,1,79,1,,0,0,79.2,,55
258,1,1,70,1,30,0,0,86.5,74,34
259,1,1,70,1,35,0,0,512.3292,,55
260,1,2,79,1,50,0,1,26,,34
261,0,3,16,0,,0,0,7.75,,39
262,1,3,58,0,3,4,2,31.3875,,34
263,0,1,16,0,52,1,1,79.65,75,34
264,0,1,16,0,40,0,0,0,74,34
265,0,3,70,1,,0,0,7.75,,39
266,0,2,16,0,36,0,0,10.5,,34
267,0,3,16,0,16,4,1,39.6875,,34
268,1,3,16,0,25,1,0,7.775,,34
269,1,1,79,1,58,0,1,153.4625,59,34
270,1,1,70,1,35,0,0,135.6333,59,34
271,0,1,16,0,,0,0,31,,34
272,1,3,16,0,25,0,0,0,,34
273,1,2,79,1,41,0,1,19.5,,34
274,0,1,16,0,37,0,1,29.7,59,55
275,1,3,70,1,,0,0,7.75,,39
276,1,1,70,1,63,1,0,77.9583,76,34
277,0,3,70,1,45,0,0,7.75,,34
278,0,2,16,0,,0,0,0,,34
279,0,3,58,0,7,4,1,29.125,,39
280,1,3,79,1,35,1,1,20.25,,34
281,0,3,16,0,65,0,0,7.75,,39
282,0,3,16,0,28,0,0,7.8542,,34
283,0,3,16,0,16,0,0,9.5,,34
284,1,3,16,0,19,0,0,8.05,,34
285,0,1,16,0,,0,0,26,47,34
286,0,3,16,0,33,0,0,8.6625,,55
287,1,3,16,0,30,0,0,9.5,,34
288,0,3,16,0,22,0,0,7.8958,,34
289,1,2,16,0,42,0,0,13,,34
290,1,3,70,1,22,0,0,7.75,,39
291,1,1,70,1,26,0,0,78.85,,34
292,1,1,79,1,19,1,0,91.0792,74,55
293,0,2,16,0,36,0,0,12.875,76,55
294,0,3,70,1,24,0,0,8.85,,34
295,0,3,16,0,24,0,0,7.8958,,34
296,0,1,16,0,,0,0,27.7208,,55
297,0,3,16,0,23.5,0,0,7.2292,,55
298,0,1,70,1,2,1,2,151.55,59,34
299,1,1,16,0,,0,0,30.5,59,34
300,1,1,79,1,50,0,1,247.5208,74,55
301,1,3,70,1,,0,0,7.75,,39
302,1,3,16,0,,2,0,23.25,,39
303,0,3,16,0,19,0,0,0,,34
304,1,2,70,1,,0,0,12.35,75,39
305,0,3,16,0,,0,0,8.05,,34
306,1,1,58,0,0.92,1,2,151.55,59,34
307,1,1,70,1,,0,0,110.8833,,55
308,1,1,79,1,17,1,0,108.9,59,55
309,0,2,16,0,30,1,0,24,,55
310,1,1,70,1,30,0,0,56.9292,75,55
311,1,1,70,1,24,0,0,83.1583,59,55
312,1,1,70,1,18,2,2,262.375,74,55
313,0,2,79,1,26,1,1,26,,34
314,0,3,16,0,28,0,0,7.8958,,34
315,0,2,16,0,43,1,1,26.25,,34
316,1,3,70,1,26,0,0,7.8542,,34
317,1,2,79,1,24,1,0,26,,34
318,0,2,43,0,54,0,0,14,,34
319,1,1,70,1,31,0,2,164.8667,59,34
320,1,1,79,1,40,1,1,134.5,75,55
321,0,3,16,0,22,0,0,7.25,,34
322,0,3,16,0,27,0,0,7.8958,,34
323,1,2,70,1,30,0,0,12.35,,39
324,1,2,79,1,22,1,1,29,,34
325,0,3,16,0,,8,2,69.55,,34
326,1,1,70,1,36,0,0,135.6333,59,55
327,0,3,16,0,61,0,0,6.2375,,34
328,1,2,79,1,36,0,0,13,76,34
329,1,3,79,1,31,1,1,20.525,,34
330,1,1,70,1,16,0,1,57.9792,74,55
331,1,3,70,1,,2,0,23.25,,39
332,0,1,16,0,45.5,0,0,28.5,59,34
333,0,1,16,0,38,0,1,153.4625,59,34
334,0,3,16,0,16,2,0,18,,34
335,1,1,79,1,,1,0,133.65,,34
336,0,3,16,0,,0,0,7.8958,,34
337,0,1,16,0,29,1,0,66.6,59,34
338,1,1,70,1,41,0,0,134.5,75,55
339,1,3,16,0,45,0,0,8.05,,34
340,0,1,16,0,45,0,0,35.5,0,34
341,1,2,58,0,2,1,1,26,62,34
342,1,1,70,1,24,3,2,263,59,34
343,0,2,16,0,28,0,0,13,,34
344,0,2,16,0,25,0,0,13,,34
345,0,2,16,0,36,0,0,13,,34
346,1,2,70,1,24,0,0,13,62,34
347,1,2,70,1,40,0,0,13,,34
348,1,3,79,1,,1,0,16.1,,34
349,1,3,58,0,3,1,1,15.9,,34
350,0,3,16,0,42,0,0,8.6625,,34
351,0,3,16,0,23,0,0,9.225,,34
352,0,1,16,0,,0,0,35,59,34
353,0,3,16,0,15,1,1,7.2292,,55
354,0,3,16,0,25,1,0,17.8,,34
355,0,3,16,0,,0,0,7.225,,55
356,0,3,16,0,28,0,0,9.5,,34
357,1,1,70,1,22,0,1,55,75,34
358,0,2,70,1,38,0,0,13,,34
359,1,3,70,1,,0,0,7.8792,,39
360,1,3,70,1,,0,0,7.8792,,39
361,0,3,16,0,40,1,4,27.9,,34
362,0,2,16,0,29,1,0,27.7208,,55
363,0,3,79,1,45,0,1,14.4542,,55
364,0,3,16,0,35,0,0,7.05,,34
365,0,3,16,0,,1,0,15.5,,39
366,0,3,16,0,30,0,0,7.25,,34
367,1,1,79,1,60,1,0,75.25,76,55
368,1,3,79,1,,0,0,7.2292,,55
369,1,3,70,1,,0,0,7.75,,39
370,1,1,,1,24,0,0,69.3,74,55
371,1,1,16,0,25,1,0,55.4417,75,55
372,0,3,16,0,18,1,0,6.4958,,34
373,0,3,16,0,19,0,0,8.05,,34
374,0,1,16,0,22,0,0,135.6333,,55
375,0,3,70,1,3,3,1,21.075,,34
376,1,1,79,1,,1,0,82.1708,,55
377,1,3,70,1,22,0,0,7.25,,34
378,0,1,16,0,27,0,2,211.5,59,55
379,0,3,16,0,20,0,0,4.0125,,55
380,0,3,16,0,19,0,0,7.775,,34
381,1,1,70,1,42,0,0,227.525,,55
382,1,3,70,1,1,0,2,15.7417,,55
383,0,3,16,0,32,0,0,7.925,,34
384,1,1,79,1,35,1,0,52,,34
385,0,3,16,0,,0,0,7.8958,,34
386,0,2,16,0,18,0,0,73.5,,34
387,0,3,58,0,1,5,2,46.9,,34
388,1,2,70,1,36,0,0,13,,34
389,0,3,16,0,,0,0,7.7292,,39
390,1,2,70,1,17,0,0,12,,55
391,1,1,16,0,36,1,2,120,74,34
392,1,3,16,0,21,0,0,7.7958,,34
393,0,3,16,0,28,2,0,7.925,,34
394,1,1,70,1,23,1,0,113.275,76,55
395,1,3,79,1,24,0,2,16.7,50,34
396,0,3,16,0,22,0,0,7.7958,,34
397,0,3,70,1,31,0,0,7.8542,,34
398,0,2,16,0,46,0,0,26,,34
399,0,2,43,0,23,0,0,10.5,,34
400,1,2,79,1,28,0,0,12.65,,34
401,1,3,16,0,39,0,0,7.925,,34
402,0,3,16,0,26,0,0,8.05,,34
403,0,3,70,1,21,1,0,9.825,,34
404,0,3,16,0,28,1,0,15.85,,34
405,0,3,70,1,20,0,0,8.6625,,34
406,0,2,16,0,34,1,0,21,,34
407,0,3,16,0,51,0,0,7.75,,34
408,1,2,58,0,3,1,1,18.75,,34
409,0,3,16,0,21,0,0,7.775,,34
410,0,3,70,1,,3,1,25.4667,,34
411,0,3,16,0,,0,0,7.8958,,34
412,0,3,16,0,,0,0,6.8583,,39
413,1,1,70,1,33,1,0,90,59,39
414,0,2,16,0,,0,0,0,,34
415,1,3,16,0,44,0,0,7.925,,34
416,0,3,79,1,,0,0,8.05,,34
417,1,2,79,1,34,1,1,32.5,,34
418,1,2,70,1,18,0,2,13,,34
419,0,2,16,0,30,0,0,13,,34
420,0,3,70,1,10,0,2,24.15,,34
421,0,3,16,0,,0,0,7.8958,,55
422,0,3,16,0,21,0,0,7.7333,,39
423,0,3,16,0,29,0,0,7.875,,34
424,0,3,79,1,28,1,1,14.4,,34
425,0,3,16,0,18,1,1,20.2125,,34
426,0,3,16,0,,0,0,7.25,,34
427,1,2,79,1,28,1,0,26,,34
428,1,2,70,1,19,0,0,26,,34
429,0,3,16,0,,0,0,7.75,,39
430,1,3,16,0,32,0,0,8.05,75,34
431,1,1,16,0,28,0,0,26.55,59,34
432,1,3,79,1,,1,0,16.1,,34
433,1,2,79,1,42,1,0,26,,34
434,0,3,16,0,17,0,0,7.125,,34
435,0,1,16,0,50,1,0,55.9,75,34
436,1,1,70,1,14,1,2,120,74,34
437,0,3,70,1,21,2,2,34.375,,34
438,1,2,79,1,24,2,3,18.75,,34
439,0,1,16,0,64,1,4,263,59,34
440,0,2,16,0,31,0,0,10.5,,34
441,1,2,79,1,45,1,1,26.25,,34
442,0,3,16,0,20,0,0,9.5,,34
443,0,3,16,0,25,1,0,7.775,,34
444,1,2,,1,28,0,0,13,,34
445,1,3,16,0,,0,0,8.1125,,34
446,1,1,58,0,4,0,2,81.8583,47,34
447,1,2,70,1,13,0,1,19.5,,34
448,1,1,16,0,34,0,0,26.55,,34
449,1,3,70,1,5,2,1,19.2583,,55
450,1,1,,0,52,0,0,30.5,59,34
451,0,2,16,0,36,1,2,27.75,,34
452,0,3,16,0,,1,0,19.9667,,34
453,0,1,16,0,30,0,0,27.75,59,55
454,1,1,16,0,49,1,0,89.1042,59,55
455,0,3,16,0,,0,0,8.05,,34
456,1,3,16,0,29,0,0,7.8958,,55
457,0,1,16,0,65,0,0,26.55,75,34
458,1,1,79,1,,1,0,51.8625,76,34
459,1,2,70,1,50,0,0,10.5,,34
460,0,3,16,0,,0,0,7.75,,39
461,1,1,16,0,48,0,0,26.55,75,34
462,0,3,16,0,34,0,0,8.05,,34
463,0,1,16,0,47,0,0,38.5,75,34
464,0,2,16,0,48,0,0,13,,34
465,0,3,16,0,,0,0,8.05,,34
466,0,3,16,0,38,0,0,7.05,,34
467,0,2,16,0,,0,0,0,,34
468,0,1,16,0,56,0,0,26.55,,34
469,0,3,16,0,,0,0,7.725,,39
470,1,3,70,1,0.75,2,1,19.2583,,55
471,0,3,16,0,,0,0,7.25,,34
472,0,3,16,0,38,0,0,8.6625,,34
473,1,2,79,1,33,1,2,27.75,,34
474,1,2,79,1,23,0,0,13.7917,76,55
475,0,3,70,1,22,0,0,9.8375,,34
476,0,1,16,0,,0,0,52,47,34
477,0,2,16,0,34,1,0,21,,34
478,0,3,16,0,29,1,0,7.0458,,34
479,0,3,16,0,22,0,0,7.5208,,34
480,1,3,70,1,2,0,1,12.2875,,34
481,0,3,58,0,9,5,2,46.9,,34
482,0,2,16,0,,0,0,0,,34
483,0,3,16,0,50,0,0,8.05,,34
484,1,3,79,1,63,0,0,9.5875,,34
485,1,1,16,0,25,1,0,91.0792,74,55
486,0,3,70,1,,3,1,25.4667,,34
487,1,1,79,1,35,1,0,90,59,34
488,0,1,16,0,58,0,0,29.7,74,55
489,0,3,16,0,30,0,0,8.05,,34
490,1,3,58,0,9,1,1,15.9,,34
491,0,3,16,0,,1,0,19.9667,,34
492,0,3,16,0,21,0,0,7.25,,34
493,0,1,16,0,55,0,0,30.5,59,34
494,0,1,16,0,71,0,0,49.5042,,55
495,0,3,16,0,21,0,0,8.05,,34
496,0,3,16,0,,0,0,14.4583,,55
497,1,1,70,1,54,1,0,78.2667,76,55
498,0,3,16,0,,0,0,15.1,,34
499,0,1,79,1,25,1,2,151.55,59,34
500,0,3,16,0,24,0,0,7.7958,,34
501,0,3,16,0,17,0,0,8.6625,,34
502,0,3,70,1,21,0,0,7.75,,39
503,0,3,70,1,,0,0,7.6292,,39
504,0,3,70,1,37,0,0,9.5875,,34
505,1,1,70,1,16,0,0,86.5,74,34
506,0,1,16,0,18,1,0,108.9,59,55
507,1,2,79,1,33,0,2,26,,34
508,1,1,16,0,,0,0,26.55,,34
509,0,3,16,0,28,0,0,22.525,,34
510,1,3,16,0,26,0,0,56.4958,,34
511,1,3,16,0,29,0,0,7.75,,39
512,0,3,16,0,,0,0,8.05,,34
513,1,1,16,0,36,0,0,26.2875,75,34
514,1,1,79,1,54,1,0,59.4,,55
515,0,3,16,0,24,0,0,7.4958,,34
516,0,1,16,0,47,0,0,34.0208,76,34
517,1,2,79,1,34,0,0,10.5,62,34
518,0,3,16,0,,0,0,24.15,,39
519,1,2,79,1,36,1,0,26,,34
520,0,3,16,0,32,0,0,7.8958,,34
521,1,1,70,1,30,0,0,93.5,74,34
522,0,3,16,0,22,0,0,7.8958,,34
523,0,3,16,0,,0,0,7.225,,55
524,1,1,79,1,44,0,1,57.9792,74,55
525,0,3,16,0,,0,0,7.2292,,55
526,0,3,16,0,40.5,0,0,7.75,,39
527,1,2,70,1,50,0,0,10.5,,34
528,0,1,16,0,,0,0,221.7792,59,34
529,0,3,16,0,39,0,0,7.925,,34
530,0,2,16,0,23,2,1,11.5,,34
531,1,2,70,1,2,1,1,26,,34
532,0,3,16,0,,0,0,7.2292,,55
533,0,3,16,0,17,1,1,7.2292,,55
534,1,3,79,1,,0,2,22.3583,,55
535,0,3,70,1,30,0,0,8.6625,,34
536,1,2,70,1,7,0,2,26.25,,34
537,0,1,,0,45,0,0,26.55,74,34
538,1,1,70,1,30,0,0,106.425,,55
539,0,3,16,0,,0,0,14.5,,34
540,1,1,70,1,22,0,2,49.5,74,55
541,1,1,70,1,36,0,2,71,74,34
542,0,3,70,1,9,4,2,31.275,,34
543,0,3,70,1,11,4,2,31.275,,34
544,1,2,16,0,32,1,0,26,,34
545,0,1,16,0,50,1,0,106.425,59,55
546,0,1,16,0,64,0,0,26,,34
547,1,2,79,1,19,1,0,26,,34
548,1,2,16,0,,0,0,13.8625,,55
549,0,3,16,0,33,1,1,20.525,,34
550,1,2,58,0,8,1,1,36.75,,34
551,1,1,16,0,17,0,2,110.8833,59,55
552,0,2,16,0,27,0,0,26,,34
553,0,3,16,0,,0,0,7.8292,,39
554,1,3,16,0,22,0,0,7.225,,55
555,1,3,70,1,22,0,0,7.775,,34
556,0,1,16,0,62,0,0,26.55,,34
557,1,1,,1,48,1,0,39.6,47,55
558,0,1,16,0,,0,0,227.525,,55
559,1,1,79,1,39,1,1,79.65,75,34
560,1,3,79,1,36,1,0,17.4,,34
561,0,3,16,0,,0,0,7.75,,39
562,0,3,16,0,40,0,0,7.8958,,34
563,0,2,16,0,28,0,0,13.5,,34
564,0,3,16,0,,0,0,8.05,,34
565,0,3,70,1,,0,0,8.05,,34
566,0,3,16,0,24,2,0,24.15,,34
567,0,3,16,0,19,0,0,7.8958,,34
568,0,3,79,1,29,0,4,21.075,,34
569,0,3,16,0,,0,0,7.2292,,55
570,1,3,16,0,32,0,0,7.8542,,34
571,1,2,16,0,62,0,0,10.5,,34
572,1,1,79,1,53,2,0,51.4792,59,34
573,1,1,16,0,36,0,0,26.3875,75,34
574,1,3,70,1,,0,0,7.75,,39
575,0,3,16,0,16,0,0,8.05,,34
576,0,3,16,0,19,0,0,14.5,,34
577,1,2,70,1,34,0,0,13,,34
578,1,1,79,1,39,1,0,55.9,75,34
579,0,3,79,1,,1,0,14.4583,,55
580,1,3,16,0,32,0,0,7.925,,34
581,1,2,70,1,25,1,1,30,,34
582,1,1,79,1,39,1,1,110.8833,59,55
583,0,2,16,0,54,0,0,26,,34
584,0,1,16,0,36,0,0,40.125,47,55
585,0,3,16,0,,0,0,8.7125,,55
586,1,1,70,1,18,0,2,79.65,75,34
587,0,2,16,0,47,0,0,15,,34
588,1,1,16,0,60,1,1,79.2,74,55
589,0,3,16,0,22,0,0,8.05,,34
590,0,3,16,0,,0,0,8.05,,34
591,0,3,16,0,35,0,0,7.125,,34
592,1,1,79,1,52,1,0,78.2667,76,55
593,0,3,16,0,47,0,0,7.25,,34
594,0,3,70,1,,0,2,7.75,,39
595,0,2,16,0,37,1,0,26,,34
596,0,3,16,0,36,1,1,24.15,,34
597,1,2,70,1,,0,0,33,,34
598,0,3,16,0,49,0,0,0,,34
599,0,3,16,0,,0,0,7.225,,55
600,1,1,,0,49,1,0,56.9292,47,55
601,1,2,79,1,24,2,1,27,,34
602,0,3,16,0,,0,0,7.8958,,34
603,0,1,16,0,,0,0,42.4,,34
604,0,3,16,0,44,0,0,8.05,,34
